tract_id,total_buildings,total_TIV,peak_gust_mph,TIV_millions,lat,lon,expected_loss,MDR,loss_M,wind_mph,bldgs_DS0,bldgs_DS1,bldgs_DS2,bldgs_DS3,bldgs_DS4,wind_hol,wind_cgan,wind_diff,TIV_M,buildings
12071010601,280,45090000.0,148.6,45.09,26.592801510094272,-81.94716835069087,27098741.4,0.6009922687957419,27.1,148.6,7.0,20.0,41.0,57.0,152.0,148.6,149.98418041559685,1.384180415596859,45.09,280
12071010602,193,31165000.0,150.3,31.16,26.568585879170765,-81.95210514966064,19016872.9,0.6101996759184982,19.02,150.3,5.0,14.0,27.0,41.0,108.0,150.3,151.63158290826985,1.3315829082698372,31.16,193
12071010701,648,104297500.0,146.1,104.3,26.5972855776315,-81.92372438122273,60971462.5,0.5845917927083583,60.97,146.1,19.0,52.0,100.0,136.0,341.0,146.1,147.0476701849637,0.9476701849636981,104.3,648
12071010702,628,101307000.0,145.9,101.31,26.576076715911956,-81.92784418533661,59034996.6,0.5827336373597086,59.03,145.9,19.0,50.0,97.0,133.0,330.0,145.9,146.4881192999373,0.58811929993729,101.31,628
12071010801,460,74199000.0,151.8,74.2,26.54395927448083,-81.98219582589799,46034925.3,0.620425144543727,46.03,151.8,11.0,32.0,64.0,93.0,261.0,151.8,150.6169438869244,-1.1830561130756223,74.2,460
12071010802,322,51901500.0,150.3,51.9,26.557439623801834,-81.95029322131218,31710223.35,0.6109693043553655,31.71,150.3,9.0,24.0,46.0,66.0,180.0,150.3,150.60903201585197,0.3090320158519546,51.9,322
12071010803,575,92769000.0,149.8,92.77,26.544242866814454,-81.95689127562993,56397967.8,0.6079398053228988,56.4,149.8,15.0,43.0,83.0,116.0,317.0,149.8,150.22592822520986,0.4259282252098444,92.77,575
12071020102,527,84985000.0,149.6,84.98,26.712731426858234,-81.88999065650567,51567811.1,0.6067872106842385,51.57,149.6,14.0,39.0,76.0,107.0,290.0,149.6,149.33658409616757,-0.2634159038324242,84.98,527
12071020103,658,106199500.0,146.6,106.2,26.739459733363667,-81.8999250223931,62338497.1,0.5869942617432286,62.34,146.6,19.0,52.0,101.0,138.0,349.0,146.6,147.298071432501,0.6980714325009956,106.2,658
12071020104,579,93264000.0,147.6,93.26,26.76112881606152,-81.90832257488344,55408925.1,0.5941083923057129,55.41,147.6,16.0,45.0,86.0,120.0,312.0,147.6,149.1460762852218,1.546076285221801,93.26,579
12071020201,1580,254702000.0,152.0,254.7,26.734513728736108,-81.86061486684154,158428546.6,0.622015322219692,158.43,152.0,36.0,108.0,220.0,318.0,895.0,152.0,155.76927885181578,3.769278851815784,254.7,1580
12071020202,2625,423199000.0,152.6,423.2,26.74803930331093,-81.82795120063948,264759560.7,0.6256148069820581,264.76,152.6,59.0,177.0,362.0,527.0,1498.0,152.6,153.80186671924776,1.2018667192477608,423.2,2625
12071020301,402,64743500.0,151.4,64.74,26.704488596141573,-81.86252332909356,40035945.35,0.6183778348405632,40.04,151.4,10.0,29.0,57.0,81.0,226.0,151.4,152.72632558608416,1.3263255860841525,64.74,402
12071020302,295,47679000.0,149.6,47.68,26.716976065818354,-81.87196731169684,28890237.0,0.6059321084754294,28.89,149.6,8.0,21.0,43.0,60.0,163.0,149.6,150.42833112635074,0.8283311263507471,47.68,295
12071020400,1040,167661000.0,152.4,167.66,26.7000439921566,-81.82924242091816,104702280.9,0.6244879900513537,104.7,152.4,25.0,71.0,143.0,209.0,592.0,152.4,150.46184317705143,-1.9381568229485708,167.66,1040
12071020501,227,36613000.0,149.2,36.61,26.69044861362508,-81.87742026673449,22122424.2,0.6042232048725862,22.12,149.2,6.0,18.0,34.0,47.0,125.0,149.2,150.10022918682617,0.9002291868261807,36.61,227
12071020502,429,69108500.0,151.3,69.11,26.67626165519972,-81.86962185281753,42694527.65,0.6177898181844491,42.69,151.3,11.0,30.0,60.0,87.0,241.0,151.3,152.33034531491154,1.0303453149115285,69.11,429
12071020600,472,76057000.0,145.7,76.06,26.66969597349174,-81.89161787940866,44208361.3,0.5812530247051553,44.21,145.7,14.0,38.0,72.0,99.0,247.0,145.7,150.3348631687279,4.634863168727918,76.06,472
12071020700,511,82428500.0,145.7,82.43,26.657827414253163,-81.90438180633251,47915242.25,0.5812946038081489,47.92,145.7,16.0,42.0,79.0,107.0,267.0,145.7,146.3514585528283,0.6514585528283021,82.43,511
12071020801,213,34304000.0,145.5,34.3,26.691587749017238,-81.90786418183534,19910146.2,0.5804030492070895,19.91,145.5,6.0,18.0,32.0,44.0,111.0,145.5,146.8923210135004,1.392321013500407,34.3,213
12071020802,323,52099500.0,145.5,52.1,26.694954526948923,-81.89638061924384,30209920.35,0.5798504851294158,30.21,145.5,10.0,27.0,50.0,67.0,170.0,145.5,146.38793234544212,0.887932345442124,52.1,323
12071030100,5561,896721000.0,146.5,896.72,26.74352291751317,-81.74259836819282,526033677.0,0.5866191122991432,526.03,146.5,164.0,445.0,848.0,1159.0,2947.0,146.5,145.6869829435707,-0.8130170564292882,896.72,5561
12071030201,707,113951000.0,146.5,113.95,26.695359856914326,-81.74711574495355,66878940.6,0.586909641863608,66.88,146.5,20.0,56.0,108.0,148.0,375.0,146.5,149.15423422177253,2.6542342217725263,113.95,707
12071030202,782,125957500.0,148.5,125.96,26.707822079485737,-81.75559096224518,75585551.95,0.6000877434849057,75.59,148.5,21.0,60.0,116.0,163.0,426.0,148.5,150.56789954903016,2.067899549030159,125.96,782
12071030205,973,156875000.0,141.9,156.88,26.71203389241077,-81.69660517436955,87163776.7,0.5556256682071713,87.16,141.9,35.0,88.0,159.0,207.0,484.0,141.9,144.02654792056458,2.126547920564576,156.88,973
12071030300,6950,1120587500.0,144.4,1120.59,26.73288841043028,-81.62204955419793,641731064.45,0.5726737666179571,641.73,144.4,222.0,588.0,1095.0,1462.0,3583.0,144.4,143.9759188178079,-0.42408118219211133,1120.59,6950
12071040108,493,79537000.0,148.4,79.54,26.53680156433634,-81.82824826607431,47614778.5,0.598649414737795,47.61,148.4,14.0,36.0,73.0,102.0,268.0,148.4,151.44419146640416,3.0441914664041576,79.54,493
12071040109,340,54793000.0,142.7,54.79,26.606582560106087,-81.72699463810396,30759894.8,0.5613836584965233,30.76,142.7,11.0,30.0,54.0,72.0,172.0,142.7,141.53722340581157,-1.162776594188415,54.79,340
