tract_id,county_fips,n_units,MBT,pct_share,n_buildings,avg_sq_ft,TIV_per_unit,TIV_total,peak_gust_mph
12071050318,12071,906,M1,0.1,91,1600.0,192000.0,17472000.0,131.6
12071050318,12071,906,C1,0.05,45,2000.0,280000.0,12600000.0,131.6
12071050318,12071,906,S1,0.03,27,2200.0,341000.0,9207000.0,131.6
12071050320,12071,485,W1,0.52,252,1800.0,198000.0,49896000.0,139.3
12071050320,12071,485,MH,0.3,146,900.0,49500.0,7227000.0,139.3
12071050320,12071,485,M1,0.1,48,1600.0,192000.0,9216000.0,139.3
12071050320,12071,485,C1,0.05,24,2000.0,280000.0,6720000.0,139.3
12071050320,12071,485,S1,0.03,15,2200.0,341000.0,5115000.0,139.3
12071010418,12071,338,W1,0.52,176,1800.0,198000.0,34848000.0,153.8
12071010418,12071,338,MH,0.3,101,900.0,49500.0,4999500.0,153.8
12071010418,12071,338,M1,0.1,34,1600.0,192000.0,6528000.0,153.8
12071010418,12071,338,C1,0.05,17,2000.0,280000.0,4760000.0,153.8
12071010418,12071,338,S1,0.03,10,2200.0,341000.0,3410000.0,153.8
12071020103,12071,658,W1,0.52,342,1800.0,198000.0,67716000.0,146.6
12071020103,12071,658,MH,0.3,197,900.0,49500.0,9751500.0,146.6
12071020103,12071,658,M1,0.1,66,1600.0,192000.0,12672000.0,146.6
12071020103,12071,658,C1,0.05,33,2000.0,280000.0,9240000.0,146.6
12071020103,12071,658,S1,0.03,20,2200.0,341000.0,6820000.0,146.6
12071010110,12071,3947,W1,0.52,2052,1800.0,198000.0,406296000.0,156.0
12071010110,12071,3947,MH,0.3,1184,900.0,49500.0,58608000.0,156.0
12071010110,12071,3947,M1,0.1,395,1600.0,192000.0,75840000.0,156.0
12071010110,12071,3947,C1,0.05,197,2000.0,280000.0,55160000.0,156.0
12071010110,12071,3947,S1,0.03,118,2200.0,341000.0,40238000.0,156.0
12071010111,12071,921,W1,0.52,479,1800.0,198000.0,94842000.0,155.3
12071010111,12071,921,MH,0.3,276,900.0,49500.0,13662000.0,155.3
12071010111,12071,921,M1,0.1,92,1600.0,192000.0,17664000.0,155.3
12071010111,12071,921,C1,0.05,46,2000.0,280000.0,12880000.0,155.3
