tract_id,total_TIV,expected_loss,n_buildings,wind_mph,bldgs_DS0,bldgs_DS1,bldgs_DS2,bldgs_DS3,bldgs_DS4,MDR,loss_ratio,TIV_M,loss_M
12071040122,58273000.0,32687229.500000004,361,142.7,12.0,31.0,58.0,76.0,181.0,0.5609326703619173,0.5609326703619173,58.27,32.69
12071040123,559727500.0,333824998.15,3471,148.0,96.0,266.0,516.0,718.0,1875.0,0.5964062836826849,0.5964062836826849,559.73,333.82
12071040124,90075500.0,51793304.9,558,144.8,17.0,47.0,88.0,117.0,289.0,0.574998805446542,0.574998805446542,90.08,51.79
12071040125,46316000.0,26133472.6,287,143.2,10.0,25.0,45.0,60.0,146.0,0.5642428663960618,0.5642428663960618,46.32,26.13
12071040126,46316000.0,26101902.8,287,143.1,10.0,25.0,45.0,60.0,146.0,0.5635612488125055,0.5635612488125055,46.32,26.1
12071040127,144918000.0,81611825.39999999,899,143.0,30.0,80.0,144.0,190.0,455.0,0.5631586510992422,0.5631586510992422,144.92,81.61
12071040128,91653500.0,54699852.64999999,569,148.0,16.0,44.0,84.0,117.0,308.0,0.5968113890904329,0.5968113890904329,91.65,54.7
12071040129,50428000.0,29829059.9,313,147.2,9.0,25.0,46.0,65.0,168.0,0.5915178055841992,0.5915178055841992,50.43,29.83
12071040130,58520500.0,33874361.95,363,145.3,11.0,30.0,56.0,76.0,189.0,0.5788460787245495,0.5788460787245495,58.52,33.87
12071040131,81065500.0,47420178.7,503,146.2,15.0,40.0,77.0,105.0,265.0,0.5849612806927732,0.5849612806927732,81.07,47.42
12071040132,43281500.0,26295887.05,269,149.6,7.0,19.0,39.0,55.0,149.0,0.6075548918128993,0.6075548918128993,43.28,26.3
12071040133,49982500.0,29214878.5,310,146.2,10.0,25.0,47.0,65.0,164.0,0.5845021457510128,0.5845021457510128,49.98,29.21
12071040134,20736500.0,12601019.95,129,149.6,3.0,10.0,19.0,26.0,70.0,0.6076734236732332,0.6076734236732332,20.74,12.6
12071040135,104297500.0,62808342.900000006,648,148.8,17.0,49.0,96.0,134.0,354.0,0.6022037239627029,0.6022037239627029,104.3,62.81
12071040136,61214000.0,34588420.599999994,380,143.2,12.0,32.0,62.0,81.0,193.0,0.5650410134936451,0.5650410134936451,61.21,34.59
12071040137,83902000.0,47336014.4,520,143.2,17.0,45.0,83.0,110.0,263.0,0.5641821935114777,0.5641821935114777,83.9,47.34
12071040138,2789897500.0,1438139903.45,17303,136.2,773.0,1812.0,3068.0,3736.0,7915.0,0.5154812689175857,0.5154812689175857,2789.9,1438.14
12071040139,65579000.0,35281943.7,407,139.3,17.0,39.0,70.0,88.0,195.0,0.5380067353878527,0.5380067353878527,65.58,35.28
12071040205,209166500.0,118484157.35,1297,143.5,43.0,113.0,208.0,273.0,661.0,0.5664585741502584,0.5664585741502584,209.17,118.48
12071040206,272052000.0,151147120.5,1687,141.9,61.0,151.0,276.0,359.0,839.0,0.555581728860659,0.555581728860659,272.05,151.15
12071040207,122323500.0,65719597.95,758,139.3,29.0,73.0,128.0,163.0,363.0,0.5372606077327742,0.5372606077327742,122.32,65.72
12071040208,261018500.0,148553670.79999998,1618,143.9,53.0,138.0,257.0,340.0,827.0,0.569130811800696,0.569130811800696,261.02,148.55
12071040209,343167000.0,185188064.7,2128,139.6,83.0,204.0,360.0,456.0,1025.0,0.5396441519726548,0.5396441519726548,343.17,185.19
12071040210,220008000.0,123175486.20000002,1365,142.5,48.0,120.0,221.0,290.0,686.0,0.5598682147921895,0.5598682147921895,220.01,123.18
12071040211,137612000.0,75368132.6,853,140.8,32.0,80.0,142.0,182.0,418.0,0.5476857585094322,0.5476857585094322,137.61,75.37
12071040212,189123000.0,105081834.9,1173,141.9,42.0,105.0,192.0,249.0,585.0,0.5556269459558065,0.5556269459558065,189.12,105.08
12071040301,123016500.0,69207034.05,763,142.9,26.0,68.0,123.0,161.0,386.0,0.5625833449171452,0.5625833449171452,123.02,69.21
12071040302,85430500.0,47787807.45,530,142.4,17.0,48.0,85.0,112.0,266.0,0.5593764223550137,0.5593764223550137,85.43,47.79
12071040303,126546000.0,69523006.8,785,141.0,28.0,71.0,130.0,167.0,386.0,0.549389208667204,0.549389208667204,126.55,69.52
12071040304,75809500.0,42149942.85,470,142.0,17.0,42.0,76.0,100.0,235.0,0.5559981644780667,0.5559981644780667,75.81,42.15
12071040305,36613000.0,20117294.9,227,141.0,8.0,20.0,38.0,49.0,112.0,0.5494577035479201,0.5494577035479201,36.61,20.12
12071040308,220398000.0,106520196.0,1367,131.8,72.0,160.0,256.0,298.0,582.0,0.4833083603299486,0.4833083603299486,220.4,106.52
12071040310,119536500.0,63525658.8,742,138.4,29.0,74.0,128.0,159.0,352.0,0.5314331505439761,0.5314331505439761,119.54,63.53
12071040311,85183000.0,46094770.6,528,139.8,21.0,50.0,89.0,113.0,256.0,0.5411264055034456,0.5411264055034456,85.18,46.09
12071040312,88173500.0,44935272.1,548,135.3,25.0,58.0,99.0,117.0,247.0,0.5096233233341083,0.5096233233341083,88.17,44.94
