tract_id,MBT,n_buildings,TIV_total,wind_mph,p_DS1,p_DS2,p_DS3,p_DS4,prob_DS0,prob_DS1,prob_DS2,prob_DS3,prob_DS4,MDR,expected_loss,bldgs_DS0,bldgs_DS1,bldgs_DS2,bldgs_DS3,bldgs_DS4
12071040315,C1,28,7840000.0,138.4,0.852,0.6582,0.4091,0.1826,0.148,0.1938,0.2492,0.2264,0.1826,0.3246,2544864.0,4.0,5.0,7.0,6.0,5.0
12071040315,S1,17,5797000.0,138.4,0.852,0.6582,0.4091,0.1826,0.148,0.1938,0.2492,0.2264,0.1826,0.3246,1881706.2,3.0,3.0,4.0,4.0,3.0
12071001206,W1,211,41778000.0,149.5,0.9777,0.8972,0.735,0.4962,0.0223,0.0806,0.1622,0.2388,0.4962,0.6334,26462185.2,5.0,17.0,34.0,50.0,105.0
12071001206,MH,122,6039000.0,149.5,0.9938,0.9711,0.8977,0.7785,0.0062,0.0227,0.0734,0.1193,0.7785,0.8459,5108390.1,1.0,3.0,9.0,15.0,95.0
12071001206,M1,41,7872000.0,149.5,0.9569,0.8371,0.639,0.389,0.0431,0.1199,0.1981,0.2499,0.389,0.5362,4220966.4,2.0,5.0,8.0,10.0,16.0
12071001206,C1,20,5600000.0,149.5,0.8972,0.735,0.4962,0.2467,0.1028,0.1622,0.2388,0.2495,0.2467,0.3986,2232160.0,2.0,3.0,5.0,5.0,5.0
12071001206,S1,12,4092000.0,149.5,0.8972,0.735,0.4962,0.2467,0.1028,0.1622,0.2388,0.2495,0.2467,0.3986,1631071.2,1.0,2.0,3.0,3.0,3.0
12071040316,W1,155,30690000.0,139.6,0.9651,0.8576,0.6672,0.4187,0.0349,0.1075,0.1904,0.2486,0.4187,0.5641,17312229.0,5.0,17.0,30.0,39.0,65.0
12071040316,MH,89,4405500.0,139.6,0.9901,0.9578,0.8638,0.7243,0.0099,0.0323,0.094,0.1394,0.7243,0.8041,3542462.5500000003,1.0,3.0,8.0,12.0,64.0
12071040316,M1,30,5760000.0,139.6,0.9358,0.7843,0.5635,0.3165,0.0642,0.1515,0.2207,0.2471,0.3165,0.4651,2678976.0,2.0,5.0,7.0,7.0,9.0
12071040316,C1,15,4200000.0,139.6,0.8576,0.6672,0.4187,0.1892,0.1424,0.1904,0.2486,0.2294,0.1892,0.3326,1396920.0,2.0,3.0,4.0,3.0,3.0
12071040316,S1,9,3069000.0,139.6,0.8576,0.6672,0.4187,0.1892,0.1424,0.1904,0.2486,0.2294,0.1892,0.3326,1020749.4,1.0,2.0,2.0,2.0,2.0
12071001921,W1,1078,213444000.0,147.9,0.9761,0.8916,0.7248,0.4839,0.0239,0.0845,0.1667,0.2409,0.4839,0.6227,132911578.80000001,26.0,91.0,180.0,260.0,522.0
